[Exercise,Equipment,Exercise Type,Major Muscle,Minor Muscle,Example,Notes,Modifications
Arnold Press,Dumbbells,Weight,Arms,"Bicep,Shoulders",giphy-2.gif (https://dl.airtable.com/FvaObZ1SyqwBU12Wx4K7_giphy-2.gif),,
Bicep Curl,"Bar,Dumbbells,Cable","Weight,Machine",Arms,Bicep,3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif (https://dl.airtable.com/Pld28NJDTyeYLcaJV7hQ_3e8b7121-738e-4457-b6d8-fd3a3e04de5a.gif),Don't use momentum. Make sure the movement is coming from the bottom half of your arm not your shoulder moving the weight.,
Bicycle Crunch,Body Weight,Weight,Core,,200.gif (https://dl.airtable.com/Y0JUbM2YTfe8uRz0jb5w_200.gif),"The lower the ""straight"" leg is to the ground the more challenging this exercise is. ","Easier: Move Slower, Legs higher in the air
Harder: Keep shoulder blades off the ground entire time"
Bounds,Body Weight,"Cardio,Laps","Full Body,Legs","Outer Thigh,Glutes",1ea07303-2e87-4876-8e68-8944edd42173.gif (https://dl.airtable.com/EkEnZqmyR9aAqElh54PL_1ea07303-2e87-4876-8e68-8944edd42173.gif),Do laps across the room of these.,"Easier: Don't jump as high/far
Harder: Touch the ground with your opposite hand after each jump"
Box Jumps,Body Weight,Plyo,Full Body,,giphy.gif (https://dl.airtable.com/ZA0AU7h5RGyzcOQ1km9Z_giphy.gif),"Don't be afraid, you can jump higher than you think. Just try it once.","Easier: Lower the height of the box and work up
Harder: Jump Faster and higher boxes"
Box Toe Touch,Platform,Cardio,Legs,Glutes,workoutanniversarygif9570.gif (https://dl.airtable.com/ypibIv5pTmgfMNAJgY6J_workoutanniversarygif9570.gif),,"Easier: Don't use a box, just practice toe touch without
Harder: Increase Speed"
Broad Jump,Body Weight,"Plyo,Laps,Cardio",Legs,Glutes,Broad-Jumps-180-Degree-Twist.gif (https://dl.airtable.com/bYHQDYRDSeyzMCrhFxoT_Broad-Jumps-180-Degree-Twist.gif),"You can do these for speed, or for distance. Speed = Cardio, Distance/Height = Plyo",
Bulgarian Split Squat,"Bar,Dumbbells",Weight,Legs,"Hamstrings,Quads",erin_stern_demonstrates_bulgarian_split_squat.gif (https://dl.airtable.com/599OAXT5SmTKCEZDTkWA_erin_stern_demonstrates_bulgarian_split_squat.gif),Use Single 30LB Dumbbell or an Olympic Bar,
Burpee,"Body Weight,Bosu Ball",Plyo,Full Body,,Burpee.gif (https://dl.airtable.com/xDZ3bhDQqG3erLNNwgyF_Burpee.gif),"Option with half Bosu, Pushup Optional. Make sure you don't round your back","Easier: Don't Jump after, and break down motion squat, step legs back and no pushup
Harder: Speed"
Burpee Broad Jump,Body Weight,"Plyo,Laps",Full Body,,BurpeeBroadJump-1.gif (https://dl.airtable.com/e4ymuWNQqezi70M2EVpG_BurpeeBroadJump-1.gif),Do laps of these across the room if you have the space.,
Butt Kickers,Body Weight,Cardio,Legs,Glutes,1ef0b377-0b2e-47a0-9f1f-1e8ab3669923.gif (https://dl.airtable.com/pUgsc0ifRCKNfXOcvkSX_1ef0b377-0b2e-47a0-9f1f-1e8ab3669923.gif),"Do it like you mean it, or this exercise is a waste of time. ","Harder: Hold weights, move faster"
Calf Raise,"Dumbbells,Machine",Weight,Legs,Calves,Calf-Raises-Basic.jpg (https://dl.airtable.com/SQxbpgUWQSGxagLa6JaD_Calf-Raises-Basic.jpg),"Play around with foot placement, some gyms also have machines for this",
Chest Press,Dumbbells,Weight,Arms,Chest,Dumbbell-Floor-Press.gif (https://dl.airtable.com/kyVvuwERkueuJQpV5fcT_Dumbbell-Floor-Press.gif),"You can do this lying on the ground, or on a bench top",
Close to Wide Grip Burnout,Dumbbells,Weight,Arms,Bicep,4.gif (https://dl.airtable.com/EKGDlplSbeSlC8mY2jqH_4.gif),,
Compass Jump,Body Weight,Cardio,Full Body,,3b38ff89-fc79-409e-b45e-ae6a47d1ca17.gif (https://dl.airtable.com/DVWMKACWQ2S1D1AIo75L_3b38ff89-fc79-409e-b45e-ae6a47d1ca17.gif),These can also be done with both feet on the ground.,"Easier: Both feet on the ground, or stepping instead of jumping"
Crab Crawl,Body Weight,"Cardio,Laps",Full Body,,0d08fe37-5714-486b-a786-fea0f0cfbea7.gif (https://dl.airtable.com/ATjCdKZ9QialuVzd072J_0d08fe37-5714-486b-a786-fea0f0cfbea7.gif),,
Curtsey Lunges,"Dumbbells,Bar",Weight,Legs,Inner Thigh,curtsy_lunge_barbell.gif (https://dl.airtable.com/qInmxz6RmTISdbvfQxUQ_curtsy_lunge_barbell.gif),,
Deficit Squat,Platform,Weight,Legs,Glutes,dumbell-squat-from-deficit-front-view.png (https://dl.airtable.com/Je3QynAQXy8fNetseCA8_dumbell-squat-from-deficit-front-view.png),,
Donkey Kick,"Dumbbells,Band,Body Weight",Weight,Legs,Glutes,"_KneelingGluteKickBackSelf2_1_10.gif (https://dl.airtable.com/I8w2TckURdenkD5E9hXl__KneelingGluteKickBackSelf2_1_10.gif),kickbacks_donkey_kicks_on_the_smith_machine_ifbb_bikini_pro_training_glutes.gif (https://dl.airtable.com/Od3Fpm51SjuPFoNp6QNh_kickbacks_donkey_kicks_on_the_smith_machine_ifbb_bikini_pro_training_glutes.gif)",,"Easier: Don't use weights
Harder: Use heavy weights"
Fire Hydrant,"Band,Body Weight",Weight,Legs,"Glutes,Outer Thigh",Jen-Selters-Fire-Hydrant.gif (https://dl.airtable.com/MEMCDbjRam2VygRIDV5S_Jen-Selters-Fire-Hydrant.gif),,Harder: Place a weight behind your kneecap
